手牌 (Hand),前段牌 (Front Tiles),後段牌 (Rear Tiles),前段牌型 (Front Rank),後段牌型 (Rear Rank)
"人, 天, 短六, 雜五","短六, 雜五","天, 人","1點","天槓"
"人, 天, 短六, 雜八","人, 短六","天, 雜八","4點","天槓"
"人, 天, 短十, 短十","天, 人","短十, 短十","天槓","短十對"
"人, 天, 短十, 短十一","短十一, 短十","天, 人","1點","天槓"
"人, 天, 短十, 長六","長六, 短十","天, 人","6點","天槓"
"人, 天, 短十, 長十","長十, 短十","天, 人","0點","天槓"
"人, 天, 短十, 長四","長四, 短十","天, 人","4點","天槓"
"人, 天, 短十, 雜七","人, 短十","天, 雜七","8點","9點"
"人, 天, 短十, 雜九","短十, 雜九","天, 人","9點","天槓"
"人, 天, 短十, 雜五","短十, 雜五","天, 人","5點","天槓"
"人, 天, 短十, 雜八","人, 短十","天, 雜八","8點","天槓"
"人, 天, 短十一, 短十一","天, 人","短十一, 短十一","天槓","短十一對"
"人, 天, 短十一, 長六","長六, 短十一","天, 人","7點","天槓"
"人, 天, 短十一, 長十","長十, 短十一","天, 人","1點","天槓"
"人, 天, 短十一, 長四","長四, 短十一","天, 人","5點","天槓"
"人, 天, 短十一, 雜七","人, 短十一","天, 雜七","9點","9點"
"人, 天, 短十一, 雜九","人, 短十一","天, 雜九","9點","天王"
"人, 天, 短十一, 雜五","短十一, 雜五","天, 人","6點","天槓"
"人, 天, 短十一, 雜八","人, 短十一","天, 雜八","9點","天槓"
